Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_513.jpg;0;1;0;0.707836;99.86773;85.88024;1.186885;55.97622;-0.001407748
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_580.jpg;0;1;0;0.7709111;99.90266;85.9315;1.203684;55.94902;-0.0008106235
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_646.jpg;0;1;0;0.8109704;99.93084;85.97284;1.214839;55.91076;-0.0005057077
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_713.jpg;0;1;0;0.8881376;99.96082;86.01682;1.224676;55.85847;-0.0007806341
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_780.jpg;0;1;0;0.9364316;100.0034;86.07911;1.223143;55.80694;-0.001091612
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_847.jpg;0;1;0;0.9850453;100.0372;86.12854;1.213732;55.78667;-0.0006330017
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_914.jpg;0;1;0;1.040445;100.0727;86.18028;1.217444;55.80167;-0.0003953597
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_24_980.jpg;0;1;0;1.093504;100.1226;86.25317;1.233443;55.73754;-0.0005652757
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_047.jpg;0;1;0;1.138371;100.1617;86.31014;1.224009;55.7028;-0.0008572242
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_114.jpg;0;1;0;1.200726;100.2025;86.36958;1.223341;55.67479;-0.0008985347
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_181.jpg;0;1;0;1.249601;100.2597;86.45265;1.233005;55.62385;-0.0006802683
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_247.jpg;0;1;0;1.296845;100.3044;86.5175;1.233396;55.6105;-0.0009411033
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_313.jpg;-1.499262;1;0;1.360014;100.351;86.58467;1.236307;55.56066;-0.0008452726
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_381.jpg;-4.497986;1;0;1.407388;100.4172;86.67676;1.246603;55.16047;0.0009061483
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_447.jpg;-7.518998;1;0;1.452407;100.4704;86.7469;1.239475;54.55311;0.002211631
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_514.jpg;-10.50694;1;0;1.513846;100.5271;86.81788;1.23798;53.68602;-0.004945037
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_581.jpg;-13.51482;1;0;1.556825;100.609;86.91244;1.229654;52.05817;359.9416
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_648.jpg;-15;1;0;1.598821;100.6746;86.98267;1.183689;50.55968;359.8965
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_714.jpg;-15;1;0;1.657712;100.7436;87.05257;1.1095;48.99577;359.8542
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_781.jpg;-15;1;0;1.701965;100.8418;87.14552;1.017097;46.87038;359.7642
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_848.jpg;-15;1;0;1.744952;100.9195;87.21491;0.9366011;45.244;359.6964
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_914.jpg;-15;1;0;1.803323;101.0011;87.28366;0.8535243;43.5905;359.6167
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_25_982.jpg;-15;1;0;1.845881;101.1156;87.37405;0.7269035;41.34709;359.5101
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_048.jpg;-15;1;0;1.888549;101.2061;87.44062;0.6279701;39.63709;359.4229
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_114.jpg;-15;1;0;1.94494;101.3004;87.50591;0.5252836;37.90241;359.3326
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_181.jpg;-15;1;0;1.986815;101.4322;87.59064;0.3837155;35.55597;359.2093
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_248.jpg;-15;1;0;2.028467;101.5355;87.6521;0.2716151;33.76935;359.1174
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_315.jpg;-15;1;0;2.083383;101.643;87.71152;0.166942;31.96217;359.016
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_381.jpg;-15;1;0;2.124248;101.7921;87.78737;0.02301;29.52596;358.8902
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_448.jpg;-15;0.8991175;0;2.164008;101.909;87.84251;359.9772;27.73794;358.8419
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_515.jpg;-15;0.6999857;0;2.206337;102.0302;87.89582;0.01442531;25.91833;358.8584
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_582.jpg;-13.4918;0.4988793;0;2.231096;102.1956;87.96088;0.01133203;23.50501;358.9202
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_648.jpg;-10.50332;0.2996471;0;2.24879;102.3222;88.00655;0.009349569;21.97713;358.9609
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_715.jpg;-9.483155;0.09821142;0;2.258394;102.45;88.05014;0.006588465;20.72219;358.9781
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_782.jpg;-10.48363;0;0;2.252928;102.6214;88.10326;-0.004079864;19.01477;358.9415
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_849.jpg;-11.48289;0;0;2.243918;102.7505;88.13921;-0.005006742;17.6302;358.8893
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_915.jpg;-14.01514;0;0;2.230662;102.8797;88.17207;-0.003252984;16.12939;358.8752
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_26_982.jpg;-15;0;0;2.21716;103.0524;88.20795;359.9908;13.77687;358.8628
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_049.jpg;-11.00232;0;0;2.20809;103.1822;88.23129;-0.005206899;12.21571;358.8985
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_115.jpg;-7.026695;0;0;2.199019;103.3119;88.25283;359.9936;11.03237;358.9516
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_182.jpg;-3.001462;0;0;2.193215;103.484;88.28114;359.9604;10.14297;359.0487
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_249.jpg;1.014373;0;0;2.183855;103.6124;88.30334;359.9196;9.945457;359.1641
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_316.jpg;5.043675;0;0;2.175311;103.7818;88.33672;359.8421;10.41428;359.4177
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_382.jpg;9.023207;0;0;2.165321;103.9071;88.36571;359.7697;11.29634;359.6974
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_449.jpg;13.02303;0;0;2.148844;104.0304;88.39888;359.6897;12.6013;0.06032084
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_516.jpg;9.03049;0;0;2.137814;104.1935;88.44614;359.6225;14.3228;0.5412721
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_583.jpg;5.036368;0;0;2.129391;104.3163;88.48149;359.6449;15.17928;0.7962102
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_649.jpg;1.038845;0;0;2.121568;104.4402;88.51591;359.7353;15.58316;0.9302509
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_716.jpg;0;0;0;2.10935;104.6066;88.56107;359.9514;15.65681;0.9429219
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_782.jpg;0;0;0;2.101778;104.73;88.59512;0.0683745;15.65666;0.9293379
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_849.jpg;0;0;0;2.093091;104.8522;88.62888;0.136657;15.65041;0.8856463
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_916.jpg;0;0;0;2.086432;105.0136;88.67376;0.1787515;15.64665;0.8046485
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_27_983.jpg;0;0;0;2.079679;105.1338;88.70722;0.1826382;15.64515;0.7316918
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_050.jpg;0;0;0;2.070672;105.2532;88.74056;0.1681478;15.64493;0.6529787
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_116.jpg;0;0;0;2.063927;105.4113;88.7848;0.1230564;15.64561;0.5409801
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_183.jpg;0;0;0;2.05717;105.5292;88.8178;0.07245521;15.64611;0.4529919
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_250.jpg;0;0;0;2.048131;105.6465;88.85066;0.01107159;15.64657;0.3638838
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_316.jpg;0;0;0;2.041324;105.8021;88.89431;359.9179;15.64709;0.2465925
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_383.jpg;0;0;0;2.034495;105.9182;88.92691;359.8435;15.64743;0.1619407
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_450.jpg;0;0;0;2.025356;106.0339;88.95941;359.7682;15.64767;0.08174757
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_516.jpg;0;0;0.2001907;2.006231;106.1852;89.00191;359.6147;15.64743;359.9838
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_583.jpg;0;0;0.4001659;1.955656;106.2931;89.03278;359.4192;15.66175;359.9568
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_650.jpg;0;0;0.6004556;1.828624;106.393;89.06135;359.0935;15.67864;359.9592
C:\Users\user\Desktop\Robotics Nanodegree\data\IMG\robocam_2017_11_30_11_00_28_716.jpg;0;0;0.8009877;1.694746;106.5114;89.09595;358.486;15.73225;0.05933174
